texto,sentimento
O tratamento que recebi foi humilhante e desnecessário.,NEGATIVO
A dedicação dos voluntários é louvável e faz a diferença.,POSITIVO
O Brasil é o quinto maior país do mundo em área territorial.,NEUTRO
A injustiça me revolta e me deixa cheio de fúria.,NEGATIVO
É uma honra ter sido convidado para participar deste evento.,POSITIVO
O investimento inicial foi de R$ 50 mil para começar o negócio.,NEUTRO
"O filme foi ruim do começo ao fim, uma perda de tempo.",NEGATIVO
"Adorei o presente, você acertou em cheio!",POSITIVO
O livro de receitas é focado em culinária vegetariana.,NEUTRO
A falta de transparência nas negociações é suspeita.,NEGATIVO
O reconhecimento do meu trabalho me deixou muito grato.,POSITIVO
As obras na rua devem durar mais duas semanas.,NEUTRO
Que decepção! Pensei que o resultado seria outro.,NEGATIVO
A oportunidade de crescimento na empresa é fantástica.,POSITIVO
A geladeira nova tem capacidade para 400 litros.,NEUTRO
O comportamento agressivo dele assustou a todos.,NEGATIVO
Que experiência enriquecedora e inesquecível!,POSITIVO
O evento foi transmitido ao vivo pelo canal oficial da instituição.,NEUTRO
Sinto-me completamente sozinho e abandonado.,NEGATIVO
O show de luzes e cores foi uma obra de arte.,POSITIVO
A nova legislação exige que todos os prédios tenham rampas de acesso.,NEUTRO
A demora no retorno me deixou muito ansioso e preocupado.,NEGATIVO
Ele é um profissional dedicado e incrivelmente competente.,POSITIVO
O cachorro da vizinha late muito durante a noite.,NEUTRO
Que falta de consideração com quem esperou tanto!,NEGATIVO
A solução que encontramos é genial e economizará muito tempo.,POSITIVO
A média de idade dos funcionários é de 35 anos.,NEUTRO
O sabor amargo e metálico da comida era intragável.,NEGATIVO
A notícia da cura encheu meu coração de esperança.,POSITIVO
A reunião durou exatamente uma hora e vinte minutos.,NEUTRO
Não consigo perdoar o que ele me fez.,NEGATIVO
O conforto do novo sofá é simplesmente incomparável.,POSITIVO
O relatório final será entregue em formato PDF.,NEUTRO
A negligência da equipe causou danos sérios.,NEGATIVO
Foi um alívio saber que tudo deu certo no final.,POSITIVO
"A taxa de juros básica permanece em 10,75% ao ano.",NEUTRO
A falta de manutenção deixa a estrutura perigosa.,NEGATIVO
A gentileza demonstrada por eles tocou meu coração.,POSITIVO
O novo filme do diretor foi lançado em 150 salas de cinema.,NEUTRO
Estou farto de ser ignorado e desvalorizado.,NEGATIVO
A proposta deles era a mais vantajosa e criativa.,POSITIVO
"A previsão de crescimento do PIB para o ano é de 2,5%.",NEUTRO
O cheiro de queimado vindo da cozinha é preocupante.,NEGATIVO
Que dia lindo! O sol está brilhando e o céu está azul.,POSITIVO
O documento deve ser assinado e reconhecido em cartório.,NEUTRO
"O preço cobrado foi um verdadeiro roubo, um absurdo.",NEGATIVO
A atitude proativa do gerente resolveu a crise.,POSITIVO
O ônibus parou no ponto da esquina e seguiu viagem.,NEUTRO
O desrespeito à fila e às regras é lamentável.,NEGATIVO
A melodia da música nova é cativante e alegre.,POSITIVO
O resultado da pesquisa foi inconclusivo.,NEUTRO
Não suporto a arrogância e o tom de superioridade dele.,NEGATIVO
A generosidade deles em doar foi inspiradora.,POSITIVO
O trem para São Paulo parte da plataforma 3.,NEUTRO
O calor insuportável está me deixando exausto.,NEGATIVO
O espetáculo de dança foi a coisa mais graciosa que já vi.,POSITIVO
O relatório contém dados sobre o consumo de energia.,NEUTRO
A situação política atual é desanimadora e incerta.,NEGATIVO
A medalha de honra ao mérito é totalmente merecida.,POSITIVO
A bicicleta foi comprada há três meses.,NEUTRO
A irresponsabilidade dela colocou todos em risco.,NEGATIVO
"Foi um dia perfeito, sem nenhum contratempo.",POSITIVO
O pagamento pode ser feito via PIX ou cartão de crédito.,NEUTRO
A paisagem da janela é monótona e sem vida.,NEGATIVO
O novo algoritmo demonstrou uma precisão impressionante.,POSITIVO
A reunião de condomínio está marcada para terça-feira.,NEUTRO
A falta de infraestrutura é um obstáculo para o desenvolvimento.,NEGATIVO
Agradeço a oportunidade de contribuir com um projeto tão nobre.,POSITIVO
O protocolo de segurança foi atualizado na última semana.,NEUTRO
Fui pego de surpresa pelo aumento abusivo da mensalidade.,NEGATIVO
Que voz melodiosa e suave! Fiquei encantado.,POSITIVO
O peso máximo suportado pela prateleira é de 15 quilos.,NEUTRO
Os comentários maldosos dele feriram meus sentimentos.,NEGATIVO
O show de fogos de artifício foi o ponto alto da noite.,POSITIVO
A validade do produto é até o final de dezembro.,NEUTRO
A burocracia excessiva torna o processo extremamente lento.,NEGATIVO
Ele é um exemplo de perseverança e dedicação.,POSITIVO
"O pacote pesa 2,5 quilogramas e tem dimensões padrão.",NEUTRO
O desperdício de recursos na área pública é revoltante.,NEGATIVO
A qualidade do tecido é superior e muito confortável.,POSITIVO
A escola oferece aulas de inglês e espanhol.,NEUTRO
A chuva inesperada arruinou completamente nosso passeio.,NEGATIVO
Que sensação de liberdade inigualável ao dirigir na estrada!,POSITIVO
O relatório contém dados sobre o mercado de ações.,NEUTRO
A imprudência do motorista causou um acidente grave.,NEGATIVO
A inovação apresentada tem um potencial incrível.,POSITIVO
O resultado da loteria foi sorteado ontem à noite.,NEUTRO
O atraso na entrega causou sérios problemas na produção.,NEGATIVO
Sua presença no evento tornou tudo muito mais especial.,POSITIVO
A temperatura média anual na região é de 22 graus Celsius.,NEUTRO
A falta de empatia dele me chocou profundamente.,NEGATIVO
O produto funciona perfeitamente e resolveu meu problema.,POSITIVO
O trem de carga transporta minério de ferro.,NEUTRO
O descaso com os animais abandonados é deprimente.,NEGATIVO
A culinária deste restaurante é uma experiência divina.,POSITIVO
"A reunião foi encerrada às 17h, conforme o previsto.",NEUTRO
O preço é proibitivo para a maioria dos consumidores.,NEGATIVO
A luz do sol da manhã me enche de energia e otimismo.,POSITIVO
A casa foi construída em 1985 e passou por uma reforma recente.,NEUTRO
O erro na contagem invalidou todos os resultados.,NEGATIVO
"Foi o dia mais feliz da minha vida, um momento mágico.",POSITIVO
O livro está disponível em capa dura e brochura.,NEUTRO
A incerteza sobre o futuro me causa muita apreensão.,NEGATIVO
O discurso do CEO foi inspirador e muito motivacional.,POSITIVO
O computador está executando a varredura de vírus.,NEUTRO
A sobrecarga de trabalho está me levando à exaustão.,NEGATIVO
A atitude de coragem e heroísmo deve ser celebrada.,POSITIVO
O novo modelo de carro é elétrico e tem autonomia de 400 km.,NEUTRO
O abandono da obra é um sinal de total irresponsabilidade.,NEGATIVO
Que prazer em finalmente ver este projeto concluído com sucesso!,POSITIVO
A temperatura da água do mar está em 25 graus.,NEUTRO
O resultado do tratamento foi terrível e inesperado.,NEGATIVO
"Ele é um verdadeiro gênio, suas ideias são brilhantes.",POSITIVO
O prazo para a conclusão do curso é de quatro anos.,NEUTRO
A desorganização da equipe causou um grande vexame.,NEGATIVO
A doçura daquele bebê é de derreter o coração.,POSITIVO
O sistema operacional requer 8 GB de memória RAM.,NEUTRO
Sinto-me ofendido por suas palavras desrespeitosas.,NEGATIVO
A sensação de vitória após a maratona é indescritível.,POSITIVO
O número da minha conta bancária é 123456-7.,NEUTRO
A falta de consideração me deixou profundamente triste.,NEGATIVO
Ele é um amigo leal e confio plenamente em seu julgamento.,POSITIVO
A impressora está sem tinta preta.,NEUTRO
Não há esperança de que a situação melhore.,NEGATIVO
A beleza natural daquele lugar é estonteante.,POSITIVO
O evento acontece todos os anos no mês de maio.,NEUTRO
A comida estava estragada e causou mal-estar.,NEGATIVO
O feedback positivo da gerência me motivou muito.,POSITIVO
A nova regra vale a partir do dia 1º de janeiro.,NEUTRO
A agressão verbal que sofri foi inaceitável.,NEGATIVO
Ele tem uma capacidade extraordinária de resolver problemas.,POSITIVO
O sinal de internet está intermitente.,NEUTRO
O serviço é caro e a qualidade é deplorável.,NEGATIVO
A alegria de ter meu filho de volta é imensa.,POSITIVO
O preço de venda do imóvel é negociável.,NEUTRO
A crise hídrica deixou a população em pânico.,NEGATIVO
A nova tecnologia é revolucionária e muito promissora.,POSITIVO
O restaurante tem capacidade para 100 clientes.,NEUTRO
O descumprimento do acordo gerou grande frustração.,NEGATIVO
Ele é a pessoa mais bondosa e prestativa que conheço.,POSITIVO
O carro foi fabricado na Alemanha.,NEUTRO
O tratamento é doloroso e muito invasivo.,NEGATIVO
A inauguração do novo espaço foi um sucesso estrondoso.,POSITIVO
O filme de comédia teve boas críticas no geral.,NEUTRO
O cheiro de lixo acumulado é nauseante.,NEGATIVO
Que dia incrível! Tudo deu certo e estou radiante.,POSITIVO
A reunião de pauta será às 8h30.,NEUTRO
O comportamento abusivo dele é intolerável.,NEGATIVO
O carinho e a atenção dela me fazem sentir amado.,POSITIVO
A empresa anunciou o fechamento de uma de suas filiais.,NEUTRO
A má gestão levou a empresa à falência.,NEGATIVO
Tenho as melhores lembranças daquela viagem.,POSITIVO
O prazo de entrega estimado é de 7 a 10 dias úteis.,NEUTRO
A notícia da perda me deixou desolado e sem chão.,NEGATIVO
Sua dedicação ao trabalho é admirável e exemplar.,POSITIVO
O contrato deve ser renovado anualmente.,NEUTRO
O barulho constante impede que eu consiga dormir.,NEGATIVO
"A solução proposta é elegante, simples e eficaz.",POSITIVO
A pesquisa foi realizada com 500 pessoas.,NEUTRO
Sinto vergonha do que aconteceu naquela noite.,NEGATIVO
A organização do evento foi impecável em todos os detalhes.,POSITIVO
A encomenda será entregue em embalagem discreta.,NEUTRO
A sensação de fracasso é esmagadora.,NEGATIVO
O sabor daquele bolo de chocolate era celestial.,POSITIVO
A votação para o novo presidente ocorrerá em janeiro.,NEUTRO
O cheiro forte de mofo e umidade é insuportável.,NEGATIVO
A equipe demonstrou um espírito colaborativo fantástico.,POSITIVO
A temperatura do forno deve ser ajustada para 180 graus.,NEUTRO
O prejuízo causado pelo incêndio foi incalculável.,NEGATIVO
Que maravilha ter finalmente um dia de folga para descansar.,POSITIVO
A chave de segurança foi enviada por e-mail.,NEUTRO
A burocracia do processo de reembolso é frustrante.,NEGATIVO
Ela é uma profissional de uma ética e competência notáveis.,POSITIVO
A pesquisa foi conduzida no estado de São Paulo.,NEUTRO
A injustiça me causou um sentimento de impotência e raiva.,NEGATIVO
A experiência gastronômica foi de altíssimo nível.,POSITIVO
O livro foi publicado pela editora em 2018.,NEUTRO
As constantes interrupções no serviço me irritaram profundamente.,NEGATIVO
A doçura no tratamento do médico me tranquilizou.,POSITIVO
O prédio tem dez andares e dois elevadores.,NEUTRO
A promessa vazia dele nos fez perder muito tempo.,NEGATIVO
O sistema de segurança é robusto e muito confiável.,POSITIVO
O computador está solicitando uma nova senha.,NEUTRO
O preço daquele ingresso é exorbitante e inacessível.,NEGATIVO
A conquista daquele prêmio foi o ápice da minha carreira.,POSITIVO
A porta da sala de reunião está fechada.,NEUTRO
A falta de consideração com os mais velhos é desumana.,NEGATIVO
O novo filme tem críticas excelentes e é imperdível.,POSITIVO
"O valor da multa de trânsito é de R$ 195,23.",NEUTRO
Sinto um medo profundo de falhar neste desafio.,NEGATIVO
O esforço da equipe foi recompensado com louvor.,POSITIVO
O artigo explica o funcionamento dos buracos negros.,NEUTRO
A experiência no hotel foi péssima: quarto sujo e barulhento.,NEGATIVO
O nascer do sol hoje estava incrivelmente radiante.,POSITIVO
A nova lei de proteção de dados já está em vigor.,NEUTRO
A irresponsabilidade dela causou um estrago irreversível.,NEGATIVO
O projeto é genial e merece todo o nosso apoio.,POSITIVO
O arquivo tem um tamanho total de 15 megabytes.,NEUTRO
A lentidão do serviço online está me deixando furioso.,NEGATIVO
Agradeço a dedicação e o profissionalismo de todos.,POSITIVO
O número do pedido para rastreamento é 987654321.,NEUTRO
A falta de vagas de emprego me preocupa muito.,NEGATIVO
O abraço da minha mãe é o melhor conforto do mundo.,POSITIVO
A conferência será transmitida ao vivo pelo YouTube.,NEUTRO
As reclamações sobre o produto têm sido constantes.,NEGATIVO
O novo sistema é uma verdadeira benção para a empresa.,POSITIVO
A temperatura máxima registrada foi de 40 graus.,NEUTRO
O odor de esgoto vindo do ralo é horrível.,NEGATIVO
Foi um momento de profunda emoção e alegria.,POSITIVO
O relatório aponta um aumento nas vendas do último trimestre.,NEUTRO
A desconfiança mútua está destruindo o relacionamento.,NEGATIVO
Ele tem um talento nato para a oratória.,POSITIVO
A sala de cinema tem 200 lugares.,NEUTRO
Sinto-me completamente abandonado à própria sorte.,NEGATIVO
A iniciativa de sustentabilidade é louvável.,POSITIVO
O documento deve ser protocolado na secretaria.,NEUTRO
O descaso com a saúde pública é inadmissível.,NEGATIVO
A gentileza de estranhos sempre me surpreende positivamente.,POSITIVO
A bateria do aparelho descarregou completamente.,NEUTRO
A taxa de cancelamento é extremamente punitiva.,NEGATIVO
A nova política da empresa é um passo gigantesco.,POSITIVO
O curso de especialização dura 18 meses.,NEUTRO
A notícia de sua doença me entristeceu profundamente.,NEGATIVO
O sorriso sincero dela me acalmou instantaneamente.,POSITIVO
O carro foi rebocado por estar em local proibido.,NEUTRO
A falta de respeito do líder com a equipe é lamentável.,NEGATIVO
O resultado da pesquisa de satisfação foi excelente.,POSITIVO
O valor da entrada é de 50 reais por pessoa.,NEUTRO
Fui alvo de uma difamação cruel e injusta.,NEGATIVO
A beleza daquela flor rara é indescritível.,POSITIVO
A geladeira faz um barulho estranho quando liga o motor.,NEUTRO
A perspectiva de um futuro incerto me causa ansiedade.,NEGATIVO
Agradeço de coração a sua inestimável ajuda.,POSITIVO
O contrato foi assinado por ambas as partes.,NEUTRO
"O lixo se acumula na calçada, um cenário degradante.",NEGATIVO
A sensação de dever cumprido é a melhor parte do dia.,POSITIVO
A aula de matemática começa às 14h.,NEUTRO
O desastre natural destruiu toda a plantação.,NEGATIVO
Foi um prazer enorme participar deste projeto.,POSITIVO
A impressora está com um erro no cartucho de cor.,NEUTRO
A negligência com o meio ambiente é um crime.,NEGATIVO
A visão otimista dele nos deu força para seguir.,POSITIVO
O mapa indica a localização exata do tesouro.,NEUTRO
A comida era insípida e a carne estava dura.,NEGATIVO
Que presente incrível! Não esperava por algo tão bom.,POSITIVO
O código do produto é XH992Y.,NEUTRO
Fui humilhado publicamente pelo meu chefe.,NEGATIVO
O sabor do café desta cafeteria é incomparável.,POSITIVO
O celular tem uma câmera de 12 megapixels.,NEUTRO
A falta de perspectiva me deixa desanimado.,NEGATIVO
Ele é um amigo fiel e um companheiro para todas as horas.,POSITIVO
A empresa foi fundada em 1995.,NEUTRO
O abandono dos idosos é uma vergonha para a sociedade.,NEGATIVO
O novo show da cantora é vibrante e cheio de energia.,POSITIVO
O pacote de software inclui três aplicativos principais.,NEUTRO
A notícia da morte do ídolo chocou e entristeceu a todos.,NEGATIVO
A experiência de imersão cultural foi inestimável.,POSITIVO
"O relógio digital mostra a hora, data e temperatura.",NEUTRO
A insegurança nas ruas aumentou drasticamente.,NEGATIVO
Que lindo! Estou maravilhado com o resultado final.,POSITIVO
O prazo de validade é de seis meses após a abertura.,NEUTRO
O descumprimento das regras levará a sanções graves.,NEGATIVO
A solução encontrada é brilhante e muito criativa.,POSITIVO
O documento foi anexado ao e-mail para revisão.,NEUTRO
A sensação de perda e vazio é constante.,NEGATIVO
Ele é a pessoa mais gentil e prestativa que já conheci.,POSITIVO
O prédio vizinho será demolido na próxima semana.,NEUTRO
A falta de higiene no banheiro público é nojenta.,NEGATIVO
O novo sistema operacional é muito mais rápido e estável.,POSITIVO
O carro está estacionado na vaga número 15.,NEUTRO
A comida estava totalmente sem sal e intragável.,NEGATIVO
Recebi uma carta de agradecimento que me emocionou.,POSITIVO
A reunião foi adiada para a próxima segunda-feira.,NEUTRO
A falta de planejamento resultou em um desastre total.,NEGATIVO
A vista da cobertura é simplesmente maravilhosa e inspiradora.,POSITIVO
"O preço do dólar fechou em R$ 5,20 hoje.",NEUTRO
A atitude egoísta dele me decepcionou profundamente.,NEGATIVO
A performance musical foi impecável e vibrante.,POSITIVO
O evento terá início às 19h e a entrada é gratuita.,NEUTRO
O barulho da sirene é ensurdecedor e irritante.,NEGATIVO
É um prazer trabalhar com uma equipe tão talentosa e engajada.,POSITIVO
A temperatura no ártico chegou a -50 graus Celsius.,NEUTRO
A humilhação que sofri na frente de todos foi inesquecível.,NEGATIVO
O atendimento foi personalizado e extremamente atencioso.,POSITIVO
O computador está solicitando que você instale uma atualização.,NEUTRO
O tratamento recebido foi totalmente desrespeitoso.,NEGATIVO
O gesto de solidariedade deles foi profundamente tocante.,POSITIVO
O livro de história possui 10 capítulos sobre a Idade Média.,NEUTRO
Fico arrasado toda vez que penso no que poderia ter sido.,NEGATIVO
A nova estratégia de marketing é ousada e genial.,POSITIVO
O ônibus 302 mudou seu itinerário.,NEUTRO
"O lixo se espalha pela rua, uma visão lamentável.",NEGATIVO
A sensação de finalmente estar em casa é de puro conforto.,POSITIVO
A impressora está com papel atolado.,NEUTRO
A falta de respostas me deixa ansioso e frustrado.,NEGATIVO
A dedicação dela é incomparável e merece reconhecimento.,POSITIVO
A previsão do tempo para amanhã é de sol.,NEUTRO
O erro na cirurgia causou danos irreversíveis ao paciente.,NEGATIVO
O presente que ganhei me fez o ser humano mais feliz.,POSITIVO
O resultado do jogo de futebol foi 2 a 1 para o time da casa.,NEUTRO
Não aguento mais o tédio desta cidade.,NEGATIVO
A culinária local é saborosa e cheia de tradição.,POSITIVO
A bicicleta tem um pneu furado.,NEUTRO
As críticas negativas prejudicaram a reputação do negócio.,NEGATIVO
Que momento emocionante! As lágrimas rolaram de alegria.,POSITIVO
O número de habitantes na cidade ultrapassa 5 milhões.,NEUTRO
O descaso das autoridades é um absurdo.,NEGATIVO
O novo método de ensino é eficaz e inovador.,POSITIVO
O prazo para a conclusão da obra é de 12 meses.,NEUTRO
O tratamento médico foi doloroso e não trouxe resultados.,NEGATIVO
A generosidade dela para com os necessitados é admirável.,POSITIVO
O telefone fixo não está funcionando.,NEUTRO
A ineficiência do processo me causou muita raiva.,NEGATIVO
"O design do produto é lindo, moderno e ergonômico.",POSITIVO
A conta de luz veio mais alta neste mês.,NEUTRO
Fui completamente enganado por aquela propaganda falsa.,NEGATIVO
A sensação de dever cumprido é a melhor recompensa.,POSITIVO
O evento será realizado em um pavilhão com capacidade para 10 mil pessoas.,NEUTRO
A negligência com a segurança é um perigo constante.,NEGATIVO
"Ele é um verdadeiro amigo, um presente na minha vida.",POSITIVO
O computador travou durante a apresentação.,NEUTRO
O sabor azedo e rançoso do leite era horrível.,NEGATIVO
O plano de carreira na empresa é muito promissor.,POSITIVO
A nova legislação proíbe o uso de canudos de plástico.,NEUTRO
Fiquei chocado com o nível de crueldade daquela cena.,NEGATIVO
A beleza daquela pintura me hipnotizou.,POSITIVO
O novo livro da autora será lançado em setembro.,NEUTRO
O atraso de três horas no voo causou um grande transtorno.,NEGATIVO
O show de rock foi eletrizante e cheio de energia.,POSITIVO
O carro precisa de um pneu novo.,NEUTRO
A falta de profissionalismo me deixou furioso.,NEGATIVO
Que dia maravilhoso para um passeio ao ar livre!,POSITIVO
O relatório de vendas está na terceira gaveta.,NEUTRO
A situação financeira da empresa é lastimável.,NEGATIVO
A solução que ele propôs é genial e simples.,POSITIVO
A reunião de planejamento durou apenas 30 minutos.,NEUTRO
A arrogância dele é insuportável e irritante.,NEGATIVO
A notícia da sua recuperação foi um alívio enorme.,POSITIVO
O novo celular tem tela de 6 polegadas.,NEUTRO
A injustiça daquele veredito me revoltou.,NEGATIVO
O ambiente de trabalho é acolhedor e colaborativo.,POSITIVO
O ônibus quebrou no meio da estrada.,NEUTRO
O prejuízo na bolsa de valores foi milionário.,NEGATIVO
Ele é um artista talentoso e muito criativo.,POSITIVO
O documento foi redigido em inglês e português.,NEUTRO
A sensação de desamparo me fez chorar.,NEGATIVO
O projeto superou todas as expectativas com excelência.,POSITIVO
