sentimento,texto_limpo
0,Não consigo perdoar fez
2,conforto novo sofá simplesmente incomparável
1,relatório final entregue formato PDF
0,negligência equipe causou danos sérios
2,Foi alívio saber tudo deu certo final
1,taxa juros básica permanece ano
0,falta manutenção deixa estrutura perigosa
2,gentileza demonstrada tocou coração
1,novo filme diretor lançado salas cinema
0,Estou farto ignorado desvalorizado
2,proposta vantajosa criativa
1,previsão crescimento PIB ano
0,cheiro queimado vindo cozinha preocupante
2,Que dia lindo sol brilhando céu azul
1,documento deve assinado reconhecido cartório
0,preço cobrado verdadeiro roubo absurdo
2,atitude proativa gerente resolveu crise
1,ônibus parou ponto esquina seguiu viagem
0,desrespeito fila regras lamentável
2,melodia música nova cativante alegre
1,resultado pesquisa inconclusivo
0,Não suporto arrogância tom superioridade
2,generosidade doar inspiradora
1,trem São Paulo parte plataforma
0,calor insuportável deixando exausto
2,espetáculo dança coisa graciosa vi
1,relatório contém dados sobre consumo energia
0,situação política atual desanimadora incerta
2,medalha honra mérito totalmente merecida
1,bicicleta comprada três meses
0,irresponsabilidade colocou todos risco
2,Foi dia perfeito nenhum contratempo
1,pagamento pode feito via PIX cartão crédito
0,paisagem janela monótona vida
2,novo algoritmo demonstrou precisão impressionante
1,reunião condomínio marcada terçafeira
0,falta infraestrutura obstáculo desenvolvimento
2,Agradeço oportunidade contribuir projeto tão nobre
1,protocolo segurança atualizado última semana
0,Fui pego surpresa aumento abusivo mensalidade
2,Que voz melodiosa suave Fiquei encantado
1,peso máximo suportado prateleira quilos
0,Os comentários maldosos feriram sentimentos
2,show fogos artifício ponto alto noite
1,validade produto final dezembro
0,burocracia excessiva torna processo extremamente lento
2,Ele exemplo perseverança dedicação
1,pacote pesa quilogramas dimensões padrão
0,desperdício recursos área pública revoltante
2,qualidade tecido superior confortável
1,escola oferece aulas inglês espanhol
0,chuva inesperada arruinou completamente passeio
2,Que sensação liberdade inigualável dirigir estrada
1,relatório contém dados sobre mercado ações
0,imprudência motorista causou acidente grave
2,inovação apresentada potencial incrível
1,resultado loteria sorteado ontem noite
0,atraso entrega causou sérios problemas produção
2,Sua presença evento tornou tudo especial
1,temperatura média anual região graus Celsius
0,falta empatia chocou profundamente
2,produto funciona perfeitamente resolveu problema
1,trem carga transporta minério ferro
0,descaso animais abandonados deprimente
2,culinária deste restaurante experiência divina
1,reunião encerrada h conforme previsto
0,preço proibitivo maioria consumidores
2,luz sol manhã enche energia otimismo
1,casa construída passou reforma recente
0,erro contagem invalidou todos resultados
2,Foi dia feliz vida momento mágico
1,livro disponível capa dura brochura
0,incerteza sobre futuro causa muita apreensão
2,discurso CEO inspirador motivacional
1,computador executando varredura vírus
0,sobrecarga trabalho levando exaustão
2,atitude coragem heroísmo deve celebrada
1,novo modelo carro elétrico autonomia km
0,abandono obra sinal total irresponsabilidade
2,Que prazer finalmente ver projeto concluído sucesso
1,temperatura água mar graus
0,resultado tratamento terrível inesperado
2,Ele verdadeiro gênio ideias brilhantes
1,prazo conclusão curso quatro anos
0,desorganização equipe causou grande vexame
2,doçura daquele bebê derreter coração
1,sistema operacional requer GB memória RAM
0,Sintome ofendido palavras desrespeitosas
2,sensação vitória após maratona indescritível
1,número conta bancária
0,falta consideração deixou profundamente triste
2,Ele amigo leal confio plenamente julgamento
1,impressora tinta preta
0,Não esperança situação melhore
2,beleza natural daquele lugar estonteante
1,evento acontece todos anos mês maio
0,comida estragada causou malestar
2,feedback positivo gerência motivou
1,nova regra vale partir dia º janeiro
0,agressão verbal sofri inaceitável
2,Ele capacidade extraordinária resolver problemas
1,sinal internet intermitente
0,serviço caro qualidade deplorável
2,alegria ter filho volta imensa
1,preço venda imóvel negociável
0,crise hídrica deixou população pânico
2,nova tecnologia revolucionária promissora
1,restaurante capacidade clientes
0,descumprimento acordo gerou grande frustração
2,Ele pessoa bondosa prestativa conheço
1,carro fabricado Alemanha
0,tratamento doloroso invasivo
2,inauguração novo espaço sucesso estrondoso
1,filme comédia boas críticas geral
0,cheiro lixo acumulado nauseante
2,Que dia incrível Tudo deu certo radiante
1,reunião pauta h
0,comportamento abusivo intolerável
2,carinho atenção fazem sentir amado
1,empresa anunciou fechamento filiais
0,má gestão levou empresa falência
2,Tenho melhores lembranças daquela viagem
1,prazo entrega estimado dias úteis
0,notícia perda deixou desolado chão
2,Sua dedicação trabalho admirável exemplar
1,contrato deve renovado anualmente
0,barulho constante impede consiga dormir
2,solução proposta elegante simples eficaz
1,pesquisa realizada pessoas
0,Sinto vergonha aconteceu naquela noite
2,organização evento impecável todos detalhes
1,encomenda entregue embalagem discreta
0,sensação fracasso esmagadora
2,sabor daquele bolo chocolate celestial
1,votação novo presidente ocorrerá janeiro
0,cheiro forte mofo umidade insuportável
2,equipe demonstrou espírito colaborativo fantástico
1,temperatura forno deve ajustada graus
0,prejuízo causado incêndio incalculável
2,Que maravilha ter finalmente dia folga descansar
1,chave segurança enviada email
0,burocracia processo reembolso frustrante
2,Ela profissional ética competência notáveis
1,pesquisa conduzida estado São Paulo
0,injustiça causou sentimento impotência raiva
2,experiência gastronômica altíssimo nível
1,livro publicado editora
0,As constantes interrupções serviço irritaram profundamente
2,doçura tratamento médico tranquilizou
1,prédio dez andares dois elevadores
0,promessa vazia fez perder tempo
2,sistema segurança robusto confiável
1,computador solicitando nova senha
0,preço daquele ingresso exorbitante inacessível
2,conquista daquele prêmio ápice carreira
1,porta sala reunião fechada
0,falta consideração velhos desumana
2,novo filme críticas excelentes imperdível
1,valor multa trânsito R
0,Sinto medo profundo falhar neste desafio
2,esforço equipe recompensado louvor
1,artigo explica funcionamento buracos negros
0,experiência hotel péssima quarto sujo barulhento
2,nascer sol hoje incrivelmente radiante
1,nova lei proteção dados vigor
0,irresponsabilidade causou estrago irreversível
2,projeto genial merece todo apoio
1,arquivo tamanho total megabytes
0,lentidão serviço online deixando furioso
2,Agradeço dedicação profissionalismo todos
1,número pedido rastreamento
0,falta vagas emprego preocupa
2,abraço mãe melhor conforto mundo
1,conferência transmitida vivo YouTube
0,As reclamações sobre produto têm sido constantes
2,novo sistema verdadeira benção empresa
1,temperatura máxima registrada graus
0,odor esgoto vindo ralo horrível
2,Foi momento profunda emoção alegria
1,relatório aponta aumento vendas último trimestre
0,desconfiança mútua destruindo relacionamento
2,Ele talento nato oratória
1,sala cinema lugares
0,Sintome completamente abandonado própria sorte
2,iniciativa sustentabilidade louvável
1,documento deve protocolado secretaria
0,descaso saúde pública inadmissível
2,gentileza estranhos sempre surpreende positivamente
1,bateria aparelho descarregou completamente
0,taxa cancelamento extremamente punitiva
2,nova política empresa passo gigantesco
1,curso especialização dura meses
0,notícia doença entristeceu profundamente
2,sorriso sincero acalmou instantaneamente
1,carro rebocado local proibido
0,falta respeito líder equipe lamentável
2,resultado pesquisa satisfação excelente
1,valor entrada reais pessoa
0,Fui alvo difamação cruel injusta
2,beleza daquela flor rara indescritível
1,geladeira faz barulho estranho liga motor
0,perspectiva futuro incerto causa ansiedade
2,Agradeço coração inestimável ajuda
1,contrato assinado ambas partes
0,lixo acumula calçada cenário degradante
2,sensação dever cumprido melhor parte dia
1,aula matemática começa h
0,desastre natural destruiu toda plantação
2,Foi prazer enorme participar deste projeto
1,impressora erro cartucho cor
0,negligência meio ambiente crime
2,visão otimista deu força seguir
1,mapa indica localização exata tesouro
0,comida insípida carne dura
2,Que presente incrível Não esperava algo tão bom
1,código produto XHY
0,Fui humilhado publicamente chefe
2,sabor café desta cafeteria incomparável
1,celular câmera megapixels
0,falta perspectiva deixa desanimado
2,Ele amigo fiel companheiro todas horas
1,empresa fundada
0,abandono idosos vergonha sociedade
2,novo show cantora vibrante cheio energia
1,pacote software inclui três aplicativos principais
0,notícia morte ídolo chocou entristeceu todos
2,experiência imersão cultural inestimável
1,relógio digital mostra hora data temperatura
0,insegurança ruas aumentou drasticamente
2,Que lindo Estou maravilhado resultado final
1,prazo validade seis meses após abertura
0,descumprimento regras levará sanções graves
2,solução encontrada brilhante criativa
1,documento anexado email revisão
0,sensação perda vazio constante
2,Ele pessoa gentil prestativa conheci
1,prédio vizinho demolido próxima semana
0,falta higiene banheiro público nojenta
2,novo sistema operacional rápido estável
1,carro estacionado vaga número
0,comida totalmente sal intragável
2,Recebi carta agradecimento emocionou
1,reunião adiada próxima segundafeira
0,falta planejamento resultou desastre total
2,vista cobertura simplesmente maravilhosa inspiradora
1,preço dólar fechou R hoje
0,atitude egoísta decepcionou profundamente
2,performance musical impecável vibrante
1,evento início h entrada gratuita
0,barulho sirene ensurdecedor irritante
2,É prazer trabalhar equipe tão talentosa engajada
1,temperatura ártico chegou graus Celsius
0,humilhação sofri frente todos inesquecível
2,atendimento personalizado extremamente atencioso
1,computador solicitando instale atualização
0,tratamento recebido totalmente desrespeitoso
2,gesto solidariedade profundamente tocante
1,livro história possui capítulos sobre Idade Média
0,Fico arrasado toda vez penso poderia ter sido
2,nova estratégia marketing ousada genial
1,ônibus mudou itinerário
0,lixo espalha rua visão lamentável
2,sensação finalmente casa puro conforto
1,impressora papel atolado
0,falta respostas deixa ansioso frustrado
2,dedicação incomparável merece reconhecimento
1,previsão tempo amanhã sol
0,erro cirurgia causou danos irreversíveis paciente
2,presente ganhei fez humano feliz
1,resultado jogo futebol time casa
0,Não aguento tédio desta cidade
2,culinária local saborosa cheia tradição
1,bicicleta pneu furado
0,As críticas negativas prejudicaram reputação negócio
2,Que momento emocionante As lágrimas rolaram alegria
1,número habitantes cidade ultrapassa milhões
0,descaso autoridades absurdo
2,novo método ensino eficaz inovador
1,prazo conclusão obra meses
0,tratamento médico doloroso trouxe resultados
2,generosidade necessitados admirável
1,telefone fixo funcionando
0,ineficiência processo causou muita raiva
2,design produto lindo moderno ergonômico
1,conta luz veio alta neste mês
0,Fui completamente enganado propaganda falsa
2,sensação dever cumprido melhor recompensa
1,evento realizado pavilhão capacidade mil pessoas
0,negligência segurança perigo constante
2,Ele verdadeiro amigo presente vida
1,computador travou durante apresentação
0,sabor azedo rançoso leite horrível
2,plano carreira empresa promissor
1,nova legislação proíbe uso canudos plástico
0,Fiquei chocado nível crueldade daquela cena
2,beleza daquela pintura hipnotizou
1,novo livro autora lançado setembro
0,atraso três horas voo causou grande transtorno
2,show rock eletrizante cheio energia
1,carro precisa pneu novo
0,falta profissionalismo deixou furioso
2,Que dia maravilhoso passeio ar livre
1,relatório vendas terceira gaveta
0,situação financeira empresa lastimável
2,solução propôs genial simples
1,reunião planejamento durou apenas minutos
0,arrogância insuportável irritante
2,notícia recuperação alívio enorme
1,novo celular tela polegadas
0,injustiça daquele veredito revoltou
2,ambiente trabalho acolhedor colaborativo
1,ônibus quebrou meio estrada
0,prejuízo bolsa valores milionário
2,Ele artista talentoso criativo
1,documento redigido inglês português
0,sensação desamparo fez chorar
2,projeto superou todas expectativas excelência
1,conta água esgoto dobrou valor
0,falta educação vergonhosa
2,atitude gratidão tocante
1,palestra começará pontualmente h
0,cheiro podre vindo geladeira insuportável
2,sucesso evento resultado esforço
1,valor compra parcelado vezes juros
0,calor intenso sufocante deixando doente
2,comida chef renomado espetacular
1,nova regra aplicada partir amanhã
0,incerteza sobre futuro profissional atormenta
2,gesto carinho deu forças continuar
1,pacote férias inclui passagem hospedagem
0,preço daquele carro luxo roubo
2,Foi passeio divertido inesquecível ano
1,máquina lavar roupas problema centrifugação
0,atitude descaso gerência entristece
2,equipe demonstrou comprometimento admirável
1,resultado análise sangue ficou pronto
0,odor fétido água parada insuportável
2,novo tablet resolução tela fantástica
1,temperatura máxima prevista hoje graus
0,irresponsabilidade causou sério acidente
2,É prazer enorme poder ajudar comunidade
1,documento precisa digitalizado enviado email
0,falta perspectiva melhoria deprime
2,paisagem campo relaxante revigorante
1,pagamento confirmado cinco minutos
0,Fui completamente ignorado hora fazer reclamação
2,palestra ontem esclarecedora inspiradora
1,preço ações subiu hoje
0,barulho obra lado pesadelo constante
2,Que notícia maravilhosa começar dia
1,encomenda prevista chegar próxima sextafeira
0,comida rançosa jogar tudo
2,novo modelo celular revolucionário inovador
1,relatório contém dados sobre taxa desemprego
0,imprudência quase custou vida alguém
2,beleza arte renascentista encanta
1,evento transmitido partir h
0,As promessas cumpridas deixaram desconfiado
2,Ele líder nato cheio carisma visão
1,reunião planejamento mensal acontece primeira segundafeira
0,lentidão internet irritante impede trabalho
2,produto superou expectativas
1,cachorro comeu osso sala
0,sensação fracasso corrói dentro
2,doçura olhar acalma qualquer tempestade
1,arquivo PDF enviado engano
0,falta responsabilidade inaceitável
2,Ele humano excepcional bondoso generoso
1,impressora precisa reabastecida papel
0,preço daquele apartamento abuso
2,sorriso coisa bonita vi
1,prazo conclusão curso estendido
0,incerteza sobre futuro deixa apavorado
2,nova interface aplicativo prática agradável
1,computador reiniciando sistema
0,má qualidade material causou rompimento peça
2,atitude gratidão lição vida
1,garrafa água caiu chão molhou tapete
0,tratamento horrível médico rude insensível
2,Que dia abençoado sol vento perfeitos
1,temperatura refrigerador deve graus Celsius
0,descumprimento contrato resultará multa pesada
2,ajuda inesperada verdadeiro alívio
1,loja aberta h h
0,lixo acumulado atrai ratos doenças
2,proposta trabalho empolgante desafiadora
1,trem capital parte minutos
0,sensação tédio espera agonizante
2,dedicação esforço plenamente recompensados
1,mapa metrô mostra linha vermelha azul
0,Fiquei completamente devastado notícia
2,sabor torta caseira traz lembranças felizes
1,número protocolo atendimento
0,cancelamento show última hora irritou
2,honestidade confessar erro admirável
1,luz cozinha piscando
0,falta empatia coisa outro mundo
2,nova política empresa beneficia todos colaboradores
1,cão dormindo tranquilamente sofá
0,cheiro podridão rua dando náuseas
2,espetáculo dança coisa linda vi
1,conta telefone chegou valor incorreto
0,negligência equipamentos causou explosão
2,Ele futuro promissor frente
1,relatório segurança enviado gestores
0,sensação injustiça consumiu dias
2,Que alívio saber tudo deu certo final
1,reunião cliente presencial
0,indiferença perante sofrimento chocou
2,vitória gloriosa incontestável
1,prazo final cadastro novembro
0,prejuízo financeiro causado crise assustador
2,bondade coração pessoas renova esperanças
1,código acesso rede WiFi recepção
0,tratamento recebi humilhante desnecessário
2,atitude liderança inspirou toda equipe
1,televisão polegadas resolução K
0,falta vagas estacionar deixa irritado
2,carinho amigos maior tesouro
1,café frio
0,fofoca maldosa espalharam sobre mim magoou
2,sensação apaixonado maravilhosa
1,documento deve preenchido letra forma
0,arrogância faz pessoa detestável
2,novo design site limpo moderno fácil usar
1,valor fatura R
0,excesso burocracia pior inimigo
2,solução tecnológica apresentada divisor águas
1,cadeira quebrou precisa reparo
0,decepção resultado amarga profunda
2,Ele coração ouro sempre ajuda precisa
1,encomenda chegará dias úteis
0,sensação pânico durante voo terrível
2,novo chef cozinha talento excepcional
1,carro tanque cheio gasolina
0,cheiro cigarro quarto hotel péssimo
2,Fui recebido calorosa sincera acolhida
1,manual instruções páginas
0,falta investimento destruindo patrimônio histórico
2,evento premiação glamoroso bem conduzido
1,prazo inscrição concurso terminou ontem
0,imprudência direção colocou risco família
2,Ele mente brilhante ideias inovadoras
1,temperatura ideal cerveja graus Celsius
0,desrespeito horário funcionamento inaceitável
2,nova ferramenta análise dados extremamente poderosa
1,computador precisa nova placa vídeo
0,injustiça situação deixou palavras apenas raiva
2,Que experiência revigorante cheia boas energias
1,prédio comercial inaugurado ano passado
0,espera duas horas hospital angustiante
2,comida saborosíssima temperada medida certa
1,livro aborda tema sustentabilidade
0,barulho chuva forte impede dormir
2,conquista título emocionante merecida
1,porta armário fecha direito
0,falta preparo equipe causou grande vexame
2,novo plano benefícios generoso excelente
1,valor multa estacionamento irregular alto
0,situação financeira causa estresse tremendo
2,oportunidade crescimento melhor coisa desta empresa
1,número apartamento segundo andar
0,sensação fracasso após teste devastadora
2,feedback construtivo recebi valioso
1,gato preto dormindo cama
0,cheiro queimado vindo motor assustou
2,dedicação inspiração todos
1,encomenda entregue horário comercial
0,irresponsabilidade finanças grande problema
2,gentileza carinho inesquecíveis
1,temperatura ambiente graus
0,notícia demissão inesperada deixou pânico
2,Ele capacidade superação admirável
1,livro conta história detetive particular
0,atendimento péssimo funcionário maleducado
2,investimento nova tecnologia extremamente acertado
1,reunião acompanhamento semanal
0,falta perspectiva futuro entristece
2,sorriso daquela criança ilumina qualquer lugar
1,avião decolou horário previsto
0,Fui vítima fraude perdi todo dinheiro
2,nova coleção roupas simplesmente deslumbrante
1,impressora ligada imprime
0,barulho constante vizinho enlouquecer
2,honestidade assumir erro ponto positivo
1,documento assinado digitalmente
0,gosto remédio amargo boca insuportável
2,Que emoção indescritível cruzar linha chegada
1,total vendas mês passado R mil
0,burocracia excessiva faz desista tudo
2,novo sistema gestão eficiente intuitivo
1,curso culinária duração três meses
0,atitude indiferença perante dor fria
2,paisagem montanha beleza acalma alma
1,carro fabricado ano
0,falta segurança vizinhança apavorante
2,bondade luz vida precisa
1,valor diária hotel reais
0,decepção resultado deixou desanimado
2,Ele verdadeiro mestre arte oratória
1,pacote dados renovado automaticamente
0,abandono causa parte organização lamentável
2,elogio recebi motivou seguir frente
1,contrato aluguel revisado ano
0,má gestão recursos causou rombo financeiro
2,experiência novo produto totalmente satisfatória
1,nova regra aplicada partir hoje
0,arrogância todas reuniões insuportável
2,novo chef trouxe ideias inovadoras deliciosas
1,previsão tempo semana tempo seco
0,tristeza perda algo consigo superar
2,trabalho voluntário enche alegria propósito
1,impressora conexão rede
0,falta qualidade material resultou quebras constantes
2,filme obraprima cinema nacional
1,telefone suporte técnico
0,sensação desespero ver fogo alastrar terrível
2,gesto solidariedade farol esperança
1,documento precisa três assinaturas diferentes
0,irresponsabilidade fiscal levou ruína
2,sensação paz tranquilidade daquele lugar única
1,relógio digital alarme cronômetro
0,preço combustível subiu novamente verdadeiro abuso
2,solução encontramos barata eficaz
1,reunião encerrada nenhuma decisão tomada
0,Fui alvo bullying causou trauma
2,festa casamento impecável pura magia
1,velocidade máxima permitida via kmh
0,falta interesse projeto desanimadora
2,Ele risada contagiante alegra todos
1,prazo entrega relatório quartafeira
0,má vontade atendente tirou sério
2,novo investimento trará resultados espetaculares
1,documento deve enviado horas
0,excesso barulho vindo rua perturbador
2,oportunidade viajar conhecer novas culturas enriquecedora
1,máquina café expresso quebrada
0,sensação impotência diante tragédia dolorosa
2,novo programa treinamento abrangente útil
1,preço ingresso show R
0,falta água bairro calamidade
2,Que sensação alívio receber boa notícia
1,luz painel piscando indicando erro
0,descaso dinheiro público crime inaceitável
2,sabor fruta colhida hora incomparável
1,nova rota ônibus economiza minutos viagem
0,demora resposta deixou extremamente impaciente
2,Ele funcionário competente dedicado empresa
1,filme ficção científica estreou último fim semana
0,atitude vingança infantil destrutiva
2,beleza daquela obra arte tirou fôlego
1,encomenda enviada via Sedex
0,humilhação fez passar imperdoável
2,novo software aumentou produtividade
1,previsão tempo indica sol calor feriado
0,falta recursos impede continuidade pesquisa
2,ambiente trabalho harmonioso estimulante
1,livro receitas ensina fazer pães caseiros
0,atitude rude desrespeitosa estragou dia
2,Que sorte ter amigos tão incríveis
1,relatório preliminar apresentado segundafeira
0,crise ansiedade deixou paralisado medo
2,sensação dever cumprido traz grande satisfação
1,computador reiniciando aplicar atualizações
0,cheiro podre comida causou ânsia
2,novo sistema filtragem água genial
1,prova final questões múltipla escolha
0,abandono causa falta apoio frustrou
2,generosidade animais emocionante
1,reunião durou três horas recorde
0,tratamento recebi negligente irresponsável
2,novo chef pastelaria verdadeiro artista
1,valor total compra reais
0,imprudência volante causou acidente sério
2,vista alto morro espetacular única
1,prazo entrega TCC prorrogado
0,Sinto tristeza profunda forma coisas acabaram
2,nova política trabalho flexível benção
1,evento realizado próximo mês abril
0,falta informação causou prejuízo enorme
2,reconhecimento esforço deixou feliz
1,carro multado excesso velocidade
0,ineficiência serviço público problema crônico
2,show luzes final evento mágico
1,número desempregados atingiu menor índice anos
0,incerteza econômica gera muita insegurança
2,oportunidade aprendizado inestimável
1,pacote inclui três diárias pensão completa
0,custo vida insuportavelmente alto
2,abraço avó porto seguro
1,nova edição livro capa dura ilustrações
0,falta transparência empresa alarmante
2,resultado exames saúde excelente
1,trem quebra linha todas manhãs
0,cheiro esgoto rua nauseante
2,novo aplicativo amigável fácil usar
1,validade passaporte expira junho próximo ano
0,crise abastecimento afetando mercado
2,capacidade resiliência inspiradora
1,número série produto ABC
0,Fiquei completamente desamparado hora precisei
2,presente recebi lindo ganhei
1,prédio andares fica área central
0,arrogância atendente deixou furioso
2,sensação paz após tempestade reconfortante
1,livro páginas custa R
0,falta segurança transporte público perigo
2,equipe voluntários demonstrou dedicação incrível
1,relatório impresso papel reciclado
0,comida fria apresentação lamentável
2,novo sistema vendas rápido eficiente
1,reunião followup videoconferência
0,decepção amigo deixou estado choque
2,proposta parceria promissora bemvinda
1,nova política privacidade exige autenticação dois fatores
0,preço abusivo daquele produto assalto consumidor
2,atitude gentil motorista salvou dia
1,conta água veio erro cálculo
0,medo pego consumiu semanas
2,beleza daquele pôr sol montanha indescritível
1,curso carga horária horas
0,falta profissionalismo notória irrita
2,Que alegria rever família tanto tempo
1,valor imposto aumentou neste ano
0,cheiro forte tinta fresca deu dor cabeça
2,espetáculo dança perfeito começo fim
1,mensagem enviada h
0,situação abandono parque deprimente
2,nova estratégia vendas eficaz
1,relatório aponta queda vendas
0,sensação fracasso esmagadora sufocante
2,Ele talento nato criar soluções inovadoras
1,nova lei trânsito gerando controvérsia
0,custo passagens aéreas proibitivo
2,feedback recebi encorajador útil
1,celular precisa recarga bateria
0,falta consideração colegas irrita
2,sensação livre leve indescritível
1,temperatura água ideal nadar
0,notícia perda deixou estado choque
2,carinho demonstrado fãs comovente
1,reunião emergência cancelada
0,desperdício comida restaurante chocante
2,atendimento loja impecável atencioso
