Frase,Classe Verdadeira,Previsão
arrogância todas discussões irritante,NEGATIVO,POSITIVO
nova interface aplicativo agradável usar,POSITIVO,POSITIVO
relatório vendas apresentado próxima semana,NEGATIVO,NEGATIVO
negligência problema causou desastre,POSITIVO,POSITIVO
ambiente trabalho acolhedor altamente produtivo,POSITIVO,POSITIVO
bicicleta cinco marchas freio disco,POSITIVO,POSITIVO
atitude desrespeitosa reunião inaceitável,NEUTRO,NEUTRO
Que sensação liberdade caminhar montanha,NEUTRO,NEUTRO
valor imposto predial aumentou,POSITIVO,POSITIVO
falta transparência empresa deixou desconfiado,POSITIVO,POSITIVO
culinária deste restaurante experiência inesquecível,NEUTRO,NEUTRO
computador acesso internet,NEGATIVO,NEGATIVO
cheiro podre fruta estragada nauseante,POSITIVO,POSITIVO
dedicação estudos exemplo esforço,POSITIVO,POSITIVO
prazo entrega currículo hoje,NEUTRO,NEGATIVO
irresponsabilidade animais partir coração,NEUTRO,NEUTRO
novo sistema filtragem água genial eficiente,NEUTRO,NEUTRO
reunião pauta conduzida editorchefe,NEUTRO,NEUTRO
tratamento médico doloroso ineficaz,POSITIVO,POSITIVO
sorriso sincero acalmou momento difícil,POSITIVO,POSITIVO
carro precisa alinhamento balanceamento,NEUTRO,NEUTRO
lentidão processo aprovação frustrante,NEGATIVO,NEGATIVO
iniciativa sustentabilidade empresa admirável,NEGATIVO,NEGATIVO
número telefone contato mudou,NEUTRO,POSITIVO
falta perspectiva causa dor imensa,POSITIVO,POSITIVO
novo método ensino divertido eficaz,NEGATIVO,NEUTRO
livro história páginas,NEUTRO,NEUTRO
Fui alvo bullying escola traumatizou,NEUTRO,NEUTRO
sensação dever cumprido melhor recompensa todas,POSITIVO,POSITIVO
valor passagem ônibus aumentou,NEGATIVO,NEGATIVO
ineficiência serviço correios lamentável,POSITIVO,POSITIVO
Ele verdadeiro amigo sempre presente leal,POSITIVO,POSITIVO
documento deve assinado gerente,NEGATIVO,NEGATIVO
preço ingresso roubo,NEUTRO,POSITIVO
performance musical impecável show talento,POSITIVO,POSITIVO
relatório aponta aumento vendas,NEGATIVO,NEGATIVO
cheiro esgoto rua nauseante,NEUTRO,NEUTRO
novo design produto elegante moderno,POSITIVO,POSITIVO
máquina lavar fazendo barulho estranho,POSITIVO,POSITIVO
falta respeito atendente deixou furioso,NEUTRO,NEUTRO
atitude gratidão tocante inspiradora,NEGATIVO,NEUTRO
prazo validade produto ano,POSITIVO,POSITIVO
arrogância chefe insuportável,NEGATIVO,NEGATIVO
solução encontramos inovadora simples,POSITIVO,POSITIVO
contrato renovado três meses,NEUTRO,NEUTRO
perda animal estimação deixou triste,NEGATIVO,NEGATIVO
Que notícia maravilhosa começar dia,NEUTRO,NEUTRO
número série aparelho XYZ,POSITIVO,POSITIVO
falta paciência grande problema,NEGATIVO,NEGATIVO
vista alto prédio deslumbrante,NEGATIVO,NEGATIVO
relatório segurança aponta falhas graves,POSITIVO,POSITIVO
descaso velhos vergonha,NEGATIVO,NEGATIVO
generosidade necessitados admirável,NEUTRO,NEUTRO
valor mensalidade academia reais,POSITIVO,POSITIVO
crise econômica gerou muita insegurança,NEUTRO,NEUTRO
sensação paz conforto casa única,POSITIVO,POSITIVO
novo modelo celular tela polegadas,NEGATIVO,NEGATIVO
tratamento recebi negligente irresponsável,NEUTRO,POSITIVO
novo empreendimento sucesso estrondoso,NEGATIVO,NEGATIVO
documento redigido português inglês,NEUTRO,NEUTRO
irresponsabilidade causou acidente grave,POSITIVO,POSITIVO
comida fresquinha tempero perfeito,NEGATIVO,NEGATIVO
reunião planejamento durou manhã inteira,POSITIVO,POSITIVO
barulho constante rua impede trabalhar,NEUTRO,NEUTRO
abraço mãe melhor conforto mundo,NEUTRO,NEUTRO
prazo entrega pedido dias úteis,NEGATIVO,NEGATIVO
Fui vítima fraude perdi todo dinheiro,NEUTRO,NEUTRO
beleza daquela flor exótica encantou,POSITIVO,POSITIVO
relatório enviado todos diretores,NEGATIVO,NEGATIVO
falta perspectiva crescimento frustrou,NEUTRO,NEUTRO
solução proposta brilhante criativa,POSITIVO,POSITIVO
valor conta energia elétrica alto,NEUTRO,POSITIVO
cheiro forte perfume sala insuportável,NEUTRO,NEUTRO
sorriso coisa bonita vi,NEGATIVO,NEGATIVO
computador travou durante instalação,NEGATIVO,NEGATIVO
situação abandono local deprimente,POSITIVO,POSITIVO
nova estratégia vendas eficaz,NEUTRO,NEUTRO
avião Londres decola h,NEUTRO,NEUTRO
custo cirurgia proibitivo maioria,NEUTRO,NEUTRO
Que alegria poder reencontrar amigos,POSITIVO,POSITIVO
total participantes evento pessoas,NEUTRO,NEUTRO
falta perspectiva emprego desanima,NEGATIVO,NEGATIVO
atitude coragem heroísmo deve reconhecida,NEGATIVO,NEGATIVO
prazo entrega produto horas,NEUTRO,NEUTRO
preço daquele ingresso exorbitante,POSITIVO,POSITIVO
show eletrizante banda incrível,NEGATIVO,NEGATIVO
relatório contém dados sobre taxa inflação,NEUTRO,NEUTRO
atitude rude desrespeitosa estragou noite,POSITIVO,POSITIVO
nova ferramenta trabalho fantástica útil,POSITIVO,POSITIVO
documento deve preenchido caneta azul,POSITIVO,POSITIVO
cheiro lixo acumulado rua insuportável,NEUTRO,NEUTRO
sensação dever cumprido traz grande paz,NEUTRO,NEUTRO
celular bateria,NEGATIVO,NEGATIVO
imprudência dirigir causou susto,NEGATIVO,NEGATIVO
Ele pessoa gentil prestativa conheço,NEGATIVO,NEUTRO
valor fatura deve pago próxima semana,POSITIVO,POSITIVO
lentidão serviço online causou muita raiva,NEUTRO,NEUTRO
Que notícia maravilhosa Estou feliz,NEUTRO,NEUTRO
prédio nova política reciclagem,NEGATIVO,NEGATIVO
falta empatia chocou profundamente,POSITIVO,POSITIVO
novo design apartamento moderno funcional,POSITIVO,POSITIVO
encomenda entregue endereço errado,NEUTRO,NEUTRO
custo vida cidade caro,POSITIVO,POSITIVO
beleza daquela obra arte tirar fôlego,NEUTRO,NEUTRO
resultado pesquisa inconclusivo,POSITIVO,POSITIVO
negligência equipamentos causou prejuízo,NEGATIVO,NEGATIVO
oportunidade crescimento empresa incrível,NEGATIVO,NEGATIVO
trem cidade parte cada minutos,NEUTRO,NEUTRO
preço abusivo qualidade oferecida,NEGATIVO,NEGATIVO
dedicação carinho família exemplares,NEGATIVO,NEGATIVO
relatório final divulgado amanhã,NEGATIVO,POSITIVO
barulho constante vizinho enlouquecer,POSITIVO,POSITIVO
novo sistema gestão projetos genial,NEGATIVO,NEGATIVO
reunião planejamento durou duas horas,NEUTRO,NEUTRO
insegurança ruas aumentou drasticamente,NEUTRO,NEUTRO
sorriso sincero criança acalmou ambiente,NEUTRO,NEUTRO
contrato trabalho validade ano,NEGATIVO,NEGATIVO
má vontade atendente tirou paciência,NEUTRO,NEUTRO
nova política sustentabilidade grande avanço,POSITIVO,POSITIVO
temperatura deserto chega graus,NEGATIVO,NEUTRO
falta consideração deixou magoado,NEUTRO,NEUTRO
Ele profissional competência notável,NEUTRO,NEUTRO
livro capítulos total,NEUTRO,NEUTRO
crise hídrica deixou população pânico,NEUTRO,NEUTRO
sensação vitória após desafio indescritível,NEUTRO,NEUTRO
valor diária hotel reais,NEGATIVO,NEGATIVO
falta higiene local repugnante,NEUTRO,NEUTRO
proposta parceria promissora,NEGATIVO,NEGATIVO
computador precisa formatado,POSITIVO,NEGATIVO
tratamento recebido humilhante desnecessário,POSITIVO,POSITIVO
carinho atenção fizeram sentir amado,NEGATIVO,NEGATIVO
relatório aponta déficit mil reais,NEGATIVO,NEGATIVO
descaso animais abandonados deprimente,POSITIVO,POSITIVO
doçura daquele bebê derreter coração,POSITIVO,POSITIVO
nova regra implementada partir segunda,NEUTRO,NEUTRO
cheiro queimado vindo cozinha forte,POSITIVO,POSITIVO
solução encontrada brilhante simples,POSITIVO,POSITIVO
número protocolo seguro,POSITIVO,POSITIVO
situação emergência causou pânico generalizado,POSITIVO,POSITIVO
vista terraço linda cidade,POSITIVO,POSITIVO
prazo conclusão obra meses,NEGATIVO,NEGATIVO
falta vagas emprego causa ansiedade,NEUTRO,NEUTRO
novo método ensino divertido eficaz,NEUTRO,NEUTRO
conta telefone veio valor incorreto,POSITIVO,POSITIVO
irresponsabilidade tarefas inaceitável,NEGATIVO,NEGATIVO
gesto solidariedade ato amor,POSITIVO,POSITIVO
reunião conduzida diretor executivo,NEUTRO,NEUTRO
abandono obra sinal má gestão,NEGATIVO,NEGATIVO
Que alegria enorme poder ajudar neste projeto,POSITIVO,POSITIVO
preço bilhete trem aumentou neste mês,NEGATIVO,NEGATIVO
tratamento recebi negligente causou dor,NEGATIVO,NEGATIVO
novo aplicativo rápido seguro útil,NEGATIVO,NEGATIVO
relatório final entregue formato digital,POSITIVO,POSITIVO
falta profissionalismo notória,NEUTRO,NEUTRO
beleza daquela paisagem natural acalmou,NEUTRO,NEUTRO
total vendas último trimestre R milhão,NEUTRO,NEUTRO
preço produto acima valor justo,NEUTRO,NEUTRO
ambiente trabalho harmonioso inspirador,NEUTRO,NEUTRO
data limite entrega TCC dezembro,NEUTRO,NEUTRO
Fiquei completamente desamparado hora precisei,NEUTRO,NEUTRO
Ele verdadeiro amigo presente vida,POSITIVO,POSITIVO
número habitantes cidade milhões,NEGATIVO,NEGATIVO
cheiro podridão rua insuportável nauseante,NEUTRO,NEUTRO
feedback recebi construtivo encorajador,NEGATIVO,NEGATIVO
valor imposto parcelado vezes,POSITIVO,POSITIVO
ineficiência processo causou muita frustração,POSITIVO,POSITIVO
novo sistema segurança robusto confiável,POSITIVO,POSITIVO
relatório apresentado PowerPoint,NEGATIVO,NEGATIVO
notícia perda deixou desolado chão,POSITIVO,POSITIVO
performance artista impecável pura arte,POSITIVO,POSITIVO
computador acesso rede WiFi,NEGATIVO,NEGATIVO
barulho alto música impede concentração,POSITIVO,POSITIVO
sensação felicidade após formatura imensa,POSITIVO,NEGATIVO
prazo validade passaporte anos,POSITIVO,POSITIVO
preço cobrado serviço abuso,NEGATIVO,NEGATIVO
solução tecnológica genial inovadora,NEUTRO,NEUTRO
reunião adiada próxima semana,NEUTRO,NEUTRO
falta perspectiva causa sofrimento profundo,POSITIVO,POSITIVO
atitude bondade tocou profundamente,NEGATIVO,NEGATIVO
valor curso R,NEGATIVO,NEGATIVO
falta respeito líder equipe vergonhosa,NEUTRO,NEUTRO
